"filename", "language", "JSON", "JSON with Comments", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\bubbleApp\BubbleApp-Mobile\src\app\directives\common-directives\thousand-spreater.directive.spec.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\bubbleApp\BubbleApp-Mobile\src\app\directives\common-directives\thousand-spreater.directive.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"d:\bubbleApp\BubbleApp-Mobile\src\app\guard\auth.guard.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 1, 3, 39
"d:\bubbleApp\BubbleApp-Mobile\src\app\helpers\emailValidation.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\bubbleApp\BubbleApp-Mobile\src\app\helpers\whiteSpaceValidator.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\bubbleApp\BubbleApp-Mobile\src\app\interceptor\error.interceptor.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 4, 4, 44
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\auth-module-routing.module.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 55
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\auth-module.module.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\auth-module.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\auth-module.service.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.module.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.page.html", "HTML", 0, 0, 0, 0, 124, 0, 0, 0, 1, 7, 132
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.page.scss", "SCSS", 0, 0, 0, 486, 0, 0, 0, 0, 16, 12, 514
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.page.spec.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 5, 82
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\forgot-password\forgot-password.page.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 7, 70
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.page.html", "HTML", 0, 0, 0, 0, 161, 0, 0, 0, 3, 12, 176
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.page.scss", "SCSS", 0, 0, 0, 496, 0, 0, 0, 0, 20, 18, 534
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.page.spec.ts", "TypeScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 11, 119
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\login\login.page.ts", "TypeScript", 0, 0, 219, 0, 0, 0, 0, 0, 5, 22, 246
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.module.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.page.html", "HTML", 0, 0, 0, 0, 244, 0, 0, 0, 1, 9, 254
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.page.scss", "SCSS", 0, 0, 0, 502, 0, 0, 0, 0, 16, 13, 531
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.page.spec.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 12, 91
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\reset-password\reset-password.page.ts", "TypeScript", 0, 0, 136, 0, 0, 0, 0, 0, 0, 13, 149
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.module.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.page.html", "HTML", 0, 0, 0, 0, 462, 0, 0, 0, 8, 12, 482
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.page.scss", "SCSS", 0, 0, 0, 648, 0, 0, 0, 0, 22, 17, 687
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.page.spec.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\auth-module\signup-details\signup-details.page.ts", "TypeScript", 0, 0, 257, 0, 0, 0, 0, 0, 4, 34, 295
